Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Survived_no,Survived_yes
62.0,0,0,26.55,True,False,False,False,True,False,False,True,True,False
32.0,2,0,73.5,False,True,False,False,True,False,False,True,True,False
23.0,0,0,7.05,False,False,True,False,True,False,False,True,False,True
26.0,1,0,136.7792,True,False,False,True,False,True,False,False,False,True
30.0,1,0,19.9667,False,False,True,False,True,False,False,True,True,False
42.0,1,0,27.0,False,True,False,False,True,False,False,True,True,False
21.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
11.0,1,2,120.0,True,False,False,False,True,False,False,True,False,True
41.0,0,0,30.5,True,False,False,False,True,False,False,True,True,False
7.0,1,1,15.2458,False,False,True,False,True,True,False,False,False,True
30.0,0,0,8.7125,False,False,True,False,True,True,False,False,True,False
30.0,0,0,0.0,True,False,False,False,True,False,False,True,True,False
24.0,0,3,19.2583,False,False,True,True,False,True,False,False,False,True
30.0,0,0,42.4,True,False,False,False,True,False,False,True,True,False
59.0,0,0,7.25,False,False,True,False,True,False,False,True,True,False
48.0,1,2,65.0,False,True,False,True,False,False,False,True,False,True
42.0,1,0,52.5542,True,False,False,False,True,False,False,True,False,True
33.0,0,0,7.8958,False,False,True,False,True,True,False,False,True,False
40.0,1,1,15.5,False,False,True,False,True,False,True,False,True,False
24.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
30.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
30.0,0,0,7.2292,False,False,True,False,True,True,False,False,True,False
17.0,0,0,8.6625,False,False,True,False,True,False,False,True,True,False
30.0,0,0,7.2292,False,False,True,False,True,True,False,False,True,False
37.0,1,0,90.0,True,False,False,True,False,False,True,False,False,True
30.0,0,0,7.7333,False,False,True,False,True,False,True,False,True,False
34.0,0,0,6.4958,False,False,True,False,True,False,False,True,True,False
30.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
20.0,0,0,7.8542,False,False,True,True,False,False,False,True,False,True
30.0,0,0,7.8292,False,False,True,False,True,False,True,False,True,False
23.0,0,0,7.55,False,False,True,True,False,False,False,True,False,True
60.0,0,0,26.55,True,False,False,False,True,False,False,True,True,False
1.0,1,1,16.7,False,False,True,True,False,False,False,True,False,True
35.0,1,0,53.1,True,False,False,True,False,False,False,True,False,True
30.0,0,0,15.5792,False,True,False,False,True,True,False,False,True,False
24.0,0,0,7.05,False,False,True,False,True,False,False,True,True,False
30.0,0,0,7.8792,False,False,True,False,True,False,True,False,True,False
26.0,0,0,7.8542,False,False,True,True,False,False,False,True,False,True
29.0,1,0,7.0458,False,False,True,False,True,False,False,True,True,False
44.0,0,0,27.7208,True,False,False,True,False,True,False,False,False,True
61.0,0,0,6.2375,False,False,True,False,True,False,False,True,True,False
32.0,0,0,7.925,False,False,True,False,True,False,False,True,True,False
16.0,0,0,26.0,False,True,False,False,True,False,False,True,True,False
28.0,0,0,10.5,False,True,False,False,True,False,False,True,True,False
30.0,1,1,14.5,False,True,False,False,True,False,False,True,False,True
30.0,0,0,27.7208,True,False,False,True,False,True,False,False,False,True
25.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
27.0,0,0,6.975,False,False,True,False,True,False,False,True,False,True
27.0,0,0,7.225,False,False,True,False,True,True,False,False,True,False
11.0,4,2,31.275,False,False,True,True,False,False,False,True,True,False
30.0,0,0,7.75,False,False,True,False,True,False,True,False,True,False
9.0,0,1,3.1708,False,False,True,False,True,False,False,True,True,False
30.0,0,0,211.5,True,False,False,False,True,True,False,False,True,False
21.0,0,0,8.05,False,False,True,False,True,False,False,True,False,True
17.0,1,0,108.9,True,False,False,True,False,True,False,False,False,True
18.0,0,0,7.775,False,False,True,True,False,False,False,True,True,False
28.0,0,0,13.5,False,True,False,False,True,False,False,True,True,False
54.0,1,1,81.8583,True,False,False,True,False,False,False,True,False,True
48.0,0,0,7.8542,False,False,True,False,True,False,False,True,True,False
36.0,0,0,40.125,True,False,False,False,True,True,False,False,True,False
36.0,0,0,75.2417,True,False,False,False,True,True,False,False,True,False
30.0,8,2,69.55,False,False,True,True,False,False,False,True,True,False
23.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
30.0,1,0,15.5,False,False,True,True,False,False,True,False,False,True
30.0,0,0,7.75,False,False,True,True,False,False,True,False,False,True
15.0,1,1,7.2292,False,False,True,False,True,True,False,False,True,False
30.0,0,0,56.4958,False,False,True,False,True,False,False,True,False,True
50.0,1,0,14.5,False,False,True,False,True,False,False,True,True,False
46.0,0,0,79.2,True,False,False,False,True,True,False,False,True,False
17.0,0,0,8.6625,False,False,True,False,True,False,False,True,True,False
30.0,0,0,8.7125,False,False,True,False,True,False,False,True,True,False
31.0,0,0,7.775,False,False,True,False,True,False,False,True,True,False
32.0,0,0,7.925,False,False,True,False,True,False,False,True,True,False
27.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
32.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
7.0,4,1,29.125,False,False,True,False,True,False,True,False,True,False
2.0,1,1,26.0,False,True,False,False,True,False,False,True,False,True
30.0,0,0,10.5,False,True,False,False,True,False,False,True,True,False
26.0,1,1,22.025,False,False,True,True,False,False,False,True,True,False
30.0,1,9,69.55,False,False,True,True,False,False,False,True,True,False
53.0,1,1,81.8583,True,False,False,False,True,False,False,True,True,False
32.0,0,0,10.5,False,True,False,False,True,False,False,True,True,False
48.0,1,3,34.375,False,False,True,True,False,False,False,True,True,False
1.0,1,1,11.1333,False,False,True,True,False,False,False,True,False,True
19.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
30.0,1,1,26.0,False,True,False,False,True,False,False,True,True,False
30.0,0,0,9.5,False,False,True,False,True,False,False,True,True,False
50.0,0,1,247.5208,True,False,False,True,False,True,False,False,False,True
30.0,0,0,8.6625,False,False,True,True,False,False,False,True,True,False
30.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
9.0,2,2,34.375,False,False,True,True,False,False,False,True,True,False
29.0,1,0,21.0,False,True,False,False,True,False,False,True,True,False
30.0,0,0,164.8667,True,False,False,True,False,False,False,True,True,False
23.0,1,0,10.5,False,True,False,False,True,False,False,True,True,False
24.0,0,0,7.8542,False,False,True,False,True,False,False,True,True,False
30.0,0,0,7.75,False,False,True,True,False,False,True,False,False,True
47.0,1,0,227.525,True,False,False,False,True,True,False,False,False,True
29.0,0,0,9.4833,False,False,True,False,True,False,False,True,True,False
23.0,0,0,8.6625,False,False,True,True,False,False,False,True,False,True
29.0,1,0,26.0,False,True,False,True,False,False,False,True,False,True
17.0,2,0,8.05,False,False,True,False,True,False,False,True,True,False
33.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
19.0,0,2,26.2833,True,False,False,True,False,False,False,True,False,True
18.0,0,0,73.5,False,True,False,False,True,False,False,True,True,False
55.0,0,0,135.6333,True,False,False,True,False,True,False,False,False,True
30.0,0,0,8.05,False,False,True,True,False,False,False,True,False,True
47.0,1,1,52.5542,True,False,False,True,False,False,False,True,False,True
18.0,1,1,13.0,False,True,False,True,False,False,False,True,False,True
25.0,0,0,7.05,False,False,True,False,True,False,False,True,True,False
31.0,1,1,26.25,False,True,False,False,True,False,False,True,True,False
30.0,0,0,14.5,False,False,True,True,False,False,False,True,False,True
30.0,0,0,7.75,False,False,True,False,True,False,True,False,False,True
56.0,0,1,83.1583,True,False,False,True,False,True,False,False,False,True
30.0,1,0,15.5,False,False,True,True,False,False,True,False,True,False
30.0,0,0,7.2292,False,False,True,False,True,True,False,False,True,False
30.0,0,0,7.225,False,False,True,False,True,True,False,False,True,False
23.0,1,0,113.275,True,False,False,True,False,True,False,False,False,True
30.0,1,0,14.4542,False,False,True,True,False,True,False,False,True,False
2.0,0,1,12.2875,False,False,True,True,False,False,False,True,False,True
22.0,0,0,7.5208,False,False,True,False,True,False,False,True,True,False
22.0,0,0,135.6333,True,False,False,False,True,True,False,False,True,False
30.0,0,0,8.1125,False,False,True,False,True,False,False,True,False,True
54.0,1,0,59.4,True,False,False,True,False,True,False,False,False,True
22.0,0,0,39.6875,False,False,True,True,False,False,False,True,False,True
22.0,0,0,7.7958,False,False,True,False,True,False,False,True,True,False
4.0,2,1,39.0,False,True,False,True,False,False,False,True,False,True
67.0,1,0,221.7792,True,False,False,False,True,False,False,True,True,False
21.0,2,2,262.375,True,False,False,True,False,True,False,False,False,True
26.0,0,0,7.775,False,False,True,False,True,False,False,True,True,False
29.0,1,0,27.7208,False,True,False,False,True,True,False,False,True,False
28.0,2,0,7.925,False,False,True,False,True,False,False,True,True,False
48.0,0,0,25.9292,True,False,False,True,False,False,False,True,False,True
31.0,0,0,21.0,False,True,False,True,False,False,False,True,True,False
30.0,1,0,15.5,False,False,True,True,False,False,True,False,False,True
30.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
21.0,1,0,11.5,False,True,False,False,True,False,False,True,False,True
41.0,1,0,51.8625,True,False,False,False,True,False,False,True,False,True
30.0,1,0,14.4542,False,False,True,True,False,True,False,False,False,True
41.0,0,2,20.2125,False,False,True,True,False,False,False,True,True,False
20.0,0,0,7.2292,False,False,True,False,True,True,False,False,False,True
24.0,0,0,69.3,True,False,False,True,False,True,False,False,False,True
42.0,0,1,8.4042,False,False,True,False,True,False,False,True,True,False
40.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
31.0,0,0,7.8542,False,False,True,True,False,False,False,True,True,False
30.0,0,0,7.8792,False,False,True,False,True,False,False,True,True,False
30.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
3.0,4,2,31.3875,False,False,True,False,True,False,False,True,False,True
21.0,0,0,16.1,False,False,True,False,True,False,False,True,True,False
60.0,0,0,76.2917,True,False,False,True,False,True,False,False,False,True
36.0,0,2,15.9,False,False,True,True,False,False,False,True,False,True
21.0,0,0,7.75,False,False,True,False,True,False,True,False,True,False
30.0,0,0,7.8958,False,False,True,False,True,True,False,False,True,False
30.0,0,0,7.2292,False,False,True,False,True,True,False,False,True,False
30.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
40.0,1,1,39.0,False,True,False,True,False,False,False,True,False,True
11.0,5,2,46.9,False,False,True,False,True,False,False,True,True,False
30.0,0,0,14.4583,False,False,True,False,True,True,False,False,True,False
30.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
2.0,1,1,20.2125,False,False,True,True,False,False,False,True,True,False
27.0,0,0,7.8792,False,False,True,True,False,False,True,False,False,True
26.0,0,0,78.85,True,False,False,True,False,False,False,True,False,True
30.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
24.0,3,2,263.0,True,False,False,True,False,False,False,True,False,True
45.0,1,4,27.9,False,False,True,True,False,False,False,True,True,False
30.0,8,2,69.55,False,False,True,True,False,False,False,True,True,False
36.0,0,0,12.875,False,True,False,False,True,True,False,False,True,False
16.0,1,3,34.375,False,False,True,False,True,False,False,True,True,False
24.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
18.0,0,0,10.5,False,True,False,False,True,False,False,True,True,False
22.0,0,0,7.25,False,False,True,True,False,False,False,True,False,True
30.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
46.0,0,0,75.2417,True,False,False,False,True,True,False,False,True,False
30.0,0,0,7.8292,False,False,True,True,False,False,True,False,False,True
22.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
30.0,0,0,7.2833,False,False,True,True,False,False,True,False,False,True
28.0,1,0,82.1708,True,False,False,False,True,True,False,False,True,False
28.0,0,0,22.525,False,False,True,False,True,False,False,True,True,False
30.0,0,0,106.425,True,False,False,True,False,True,False,False,False,True
21.0,0,0,7.775,False,False,True,False,True,False,False,True,True,False
29.0,0,0,30.0,True,False,False,False,True,False,False,True,True,False
35.0,0,0,26.0,False,True,False,False,True,False,False,True,True,False
30.0,0,0,7.8875,False,False,True,False,True,False,False,True,True,False
18.0,1,1,7.8542,False,False,True,False,True,False,False,True,True,False
14.0,1,2,120.0,True,False,False,True,False,False,False,True,False,True
45.0,0,0,35.5,True,False,False,False,True,False,False,True,True,False
1.0,2,1,39.0,False,True,False,False,True,False,False,True,False,True
63.0,1,0,77.9583,True,False,False,True,False,False,False,True,False,True
17.0,0,0,7.7333,False,False,True,True,False,False,True,False,True,False
25.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
42.0,0,0,26.2875,True,False,False,False,True,False,False,True,False,True
30.0,0,0,35.5,True,False,False,False,True,False,False,True,False,True
48.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
35.0,0,0,10.5,False,True,False,False,True,False,False,True,True,False
24.0,2,3,18.75,False,True,False,True,False,False,False,True,False,True
18.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
40.0,0,0,7.225,False,False,True,False,True,True,False,False,True,False
30.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
19.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
53.0,0,0,27.4458,True,False,False,True,False,True,False,False,False,True
57.0,0,0,12.35,False,True,False,False,True,False,True,False,True,False
37.0,0,0,7.75,False,False,True,True,False,False,True,False,False,True
50.0,1,0,55.9,True,False,False,False,True,False,False,True,True,False
28.0,0,0,56.4958,False,False,True,False,True,False,False,True,True,False
30.0,1,2,23.45,False,False,True,False,True,False,False,True,True,False
23.0,3,2,263.0,True,False,False,True,False,False,False,True,False,True
30.0,0,0,12.35,False,True,False,True,False,False,True,False,False,True
39.0,0,0,0.0,True,False,False,False,True,False,False,True,True,False
30.0,0,0,7.75,False,False,True,True,False,False,True,False,False,True
18.0,2,2,262.375,True,False,False,True,False,True,False,False,False,True
23.0,0,0,7.8542,False,False,True,True,False,False,False,True,True,False
61.0,1,3,262.375,True,False,False,False,True,True,False,False,True,False
30.0,1,2,20.575,False,False,True,True,False,False,False,True,True,False
45.0,0,0,26.55,True,False,False,False,True,False,False,True,False,True
22.0,0,0,7.775,False,False,True,True,False,False,False,True,False,True
51.0,0,0,26.55,True,False,False,False,True,False,False,True,False,True
36.0,0,0,0.0,False,False,True,False,True,False,False,True,True,False
30.0,0,0,7.225,False,False,True,False,True,True,False,False,False,True
16.0,0,0,9.2167,False,False,True,False,True,False,False,True,True,False
18.0,0,0,7.7958,False,False,True,False,True,False,False,True,True,False
45.0,1,0,14.1083,False,False,True,True,False,False,False,True,True,False
33.0,0,0,7.8542,False,False,True,False,True,False,False,True,False,True
42.0,0,0,13.0,False,True,False,False,True,False,False,True,False,True
47.0,0,0,25.5875,True,False,False,False,True,False,False,True,True,False
19.0,1,0,16.1,False,False,True,True,False,False,False,True,True,False
22.0,0,0,7.775,False,False,True,False,True,False,False,True,True,False
30.0,1,0,51.8625,True,False,False,True,False,False,False,True,False,True
30.0,0,0,31.0,True,False,False,False,True,False,False,True,True,False
30.0,1,1,24.15,False,False,True,True,False,False,False,True,True,False
30.0,0,1,55.0,True,False,False,True,False,False,False,True,False,True
39.0,0,1,13.4167,False,False,True,False,True,True,False,False,True,False
14.0,0,0,65.0,False,True,False,False,True,False,False,True,False,True
54.0,1,3,23.0,False,True,False,True,False,False,False,True,False,True
24.0,2,0,31.5,False,True,False,False,True,False,False,True,True,False
71.0,0,0,49.5042,True,False,False,False,True,True,False,False,True,False
35.0,0,0,12.35,False,True,False,False,True,False,True,False,True,False
48.0,0,2,36.75,False,True,False,True,False,False,False,True,True,False
22.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
30.0,0,0,79.2,True,False,False,True,False,True,False,False,False,True
25.0,1,0,7.925,False,False,True,True,False,False,False,True,True,False
60.0,1,1,39.0,False,True,False,False,True,False,False,True,True,False
30.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
28.0,0,1,33.0,False,True,False,False,True,False,False,True,True,False
32.0,0,0,7.775,False,False,True,False,True,False,False,True,True,False
20.0,1,1,15.7417,False,False,True,False,True,True,False,False,False,True
34.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
29.0,0,2,23.0,False,True,False,True,False,False,False,True,False,True
16.0,5,2,46.9,False,False,True,True,False,False,False,True,True,False
21.0,0,0,7.8542,False,False,True,False,True,False,False,True,False,True
5.0,1,2,27.75,False,True,False,True,False,False,False,True,False,True
24.0,1,0,60.0,True,False,False,False,True,False,False,True,True,False
25.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
25.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
36.0,0,0,10.5,False,True,False,False,True,False,False,True,True,False
30.0,0,0,7.2292,False,False,True,False,True,True,False,False,True,False
30.0,1,0,146.5208,True,False,False,True,False,True,False,False,False,True
24.0,1,1,37.0042,False,True,False,True,False,True,False,False,False,True
30.0,0,0,8.4583,False,False,True,False,True,False,True,False,True,False
30.0,0,0,56.4958,False,False,True,False,True,False,False,True,False,True
60.0,1,4,263.0,True,False,False,True,False,False,False,True,False,True
23.0,0,0,7.8542,False,False,True,False,True,False,False,True,True,False
24.0,0,0,7.4958,False,False,True,False,True,False,False,True,True,False
45.0,1,1,134.5,True,False,False,False,True,True,False,False,True,False
22.0,1,0,7.25,False,False,True,False,True,False,False,True,True,False
30.0,2,1,19.2583,False,False,True,True,False,True,False,False,False,True
30.0,0,0,7.8958,False,False,True,False,True,True,False,False,True,False
35.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
33.0,1,1,20.525,False,False,True,False,True,False,False,True,True,False
30.0,2,0,21.6792,False,False,True,False,True,True,False,False,True,False
38.0,1,0,71.2833,True,False,False,True,False,True,False,False,False,True
29.0,0,0,10.5,False,True,False,False,True,False,False,True,True,False
44.0,0,0,13.0,False,True,False,False,True,False,False,True,False,True
4.0,1,1,16.7,False,False,True,True,False,False,False,True,False,True
47.0,1,0,61.175,True,False,False,True,False,False,False,True,False,True
17.0,0,0,47.1,True,False,False,False,True,False,False,True,True,False
24.0,0,0,10.5,False,True,False,False,True,False,False,True,False,True
18.0,1,0,53.1,True,False,False,True,False,False,False,True,True,False
30.0,1,0,14.4583,False,False,True,True,False,True,False,False,True,False
30.0,1,0,15.5,False,False,True,False,True,False,True,False,True,False
30.0,0,0,110.8833,True,False,False,True,False,True,False,False,False,True
30.0,0,2,7.75,False,False,True,True,False,False,True,False,True,False
25.0,1,0,55.4417,True,False,False,True,False,True,False,False,True,False
30.0,0,0,8.05,False,False,True,True,False,False,False,True,True,False
27.0,0,0,8.6625,False,False,True,False,True,False,False,True,False,True
59.0,2,0,51.4792,True,False,False,True,False,False,False,True,True,False
30.0,0,0,27.7208,True,False,False,False,True,True,False,False,True,False
23.0,0,0,10.5,False,True,False,False,True,False,False,True,False,True
39.0,1,1,110.8833,True,False,False,True,False,True,False,False,False,True
22.0,0,0,7.125,False,False,True,False,True,False,False,True,True,False
62.0,0,0,10.5,False,True,False,False,True,False,False,True,False,True
16.0,2,0,18.0,False,False,True,False,True,False,False,True,True,False
36.0,0,0,31.6792,True,False,False,True,False,True,False,False,False,True
30.0,1,1,13.775,False,False,True,False,True,False,False,True,False,True
36.0,0,0,26.3875,True,False,False,False,True,False,False,True,False,True
30.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
17.0,0,0,14.4583,False,False,True,True,False,True,False,False,True,False
29.0,1,0,66.6,True,False,False,False,True,False,False,True,True,False
13.0,0,0,7.2292,False,False,True,True,False,True,False,False,False,True
42.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
23.0,0,0,93.5,True,False,False,False,True,False,False,True,False,True
26.0,1,1,26.0,False,True,False,True,False,False,False,True,True,False
21.0,0,0,7.8208,False,False,True,False,True,False,True,False,True,False
14.0,0,0,9.225,False,False,True,False,True,False,False,True,True,False
30.0,0,0,7.7375,False,False,True,False,True,False,True,False,True,False
30.0,0,0,7.225,False,False,True,False,True,True,False,False,True,False
42.0,1,0,26.0,False,True,False,True,False,False,False,True,False,True
34.0,1,1,32.5,False,True,False,True,False,False,False,True,False,True
22.0,0,0,9.8375,False,False,True,True,False,False,False,True,True,False
9.0,5,2,46.9,False,False,True,False,True,False,False,True,True,False
16.0,0,1,39.4,True,False,False,True,False,False,False,True,False,True
24.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
40.0,0,0,0.0,True,False,False,False,True,False,False,True,True,False
43.0,1,0,55.4417,True,False,False,True,False,True,False,False,False,True
35.0,0,0,512.3292,True,False,False,False,True,True,False,False,False,True
30.0,0,2,15.2458,False,False,True,True,False,True,False,False,True,False
30.0,0,0,7.75,False,False,True,False,True,False,True,False,True,False
21.0,0,0,8.4333,False,False,True,False,True,False,False,True,True,False
18.0,0,0,7.775,False,False,True,True,False,False,False,True,True,False
36.0,1,2,120.0,True,False,False,False,True,False,False,True,False,True
30.0,0,0,7.75,False,False,True,False,True,False,True,False,True,False
50.0,1,0,26.0,False,True,False,False,True,False,False,True,True,False
30.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
42.0,0,0,8.6625,False,False,True,False,True,False,False,True,True,False
34.0,1,0,26.0,False,True,False,False,True,False,False,True,True,False
18.0,1,0,17.8,False,False,True,True,False,False,False,True,True,False
52.0,0,0,30.5,True,False,False,False,True,False,False,True,False,True
30.0,1,0,24.0,False,True,False,False,True,True,False,False,True,False
18.0,2,2,34.375,False,False,True,False,True,False,False,True,False,True
34.0,0,0,13.0,False,True,False,True,False,False,False,True,False,True
40.0,1,0,26.0,False,True,False,False,True,False,False,True,True,False
51.0,0,0,12.525,False,True,False,False,True,False,False,True,True,False
29.0,0,0,10.5,False,True,False,True,False,False,False,True,False,True
20.0,0,0,7.225,False,False,True,False,True,True,False,False,False,True
16.0,0,1,57.9792,True,False,False,True,False,True,False,False,False,True
28.0,0,0,7.775,False,False,True,True,False,False,False,True,True,False
30.0,0,0,7.775,False,False,True,False,True,False,False,True,True,False
24.0,1,0,15.85,False,False,True,True,False,False,False,True,False,True
27.0,1,0,26.0,False,True,False,False,True,False,False,True,True,False
21.0,0,0,7.775,False,False,True,False,True,False,False,True,True,False
30.0,0,0,25.7417,True,False,False,False,True,True,False,False,False,True
20.0,0,0,7.8542,False,False,True,False,True,False,False,True,True,False
44.0,0,1,16.1,False,False,True,False,True,False,False,True,True,False
17.0,4,2,7.925,False,False,True,True,False,False,False,True,False,True
30.0,8,2,69.55,False,False,True,False,True,False,False,True,True,False
19.0,0,0,8.1583,False,False,True,False,True,False,False,True,True,False
80.0,0,0,30.0,True,False,False,False,True,False,False,True,False,True
74.0,0,0,7.775,False,False,True,False,True,False,False,True,True,False
48.0,0,0,26.55,True,False,False,False,True,False,False,True,False,True
30.0,0,0,7.2292,False,False,True,False,True,True,False,False,True,False
50.0,0,0,8.05,False,False,True,False,True,False,False,True,True,False
36.0,0,0,262.375,True,False,False,True,False,True,False,False,False,True
22.0,0,0,9.35,False,False,True,False,True,False,False,True,True,False
15.0,0,0,7.225,False,False,True,True,False,True,False,False,False,True
46.0,0,0,79.2,True,False,False,False,True,True,False,False,True,False
29.0,0,0,9.5,False,False,True,False,True,False,False,True,False,True
30.0,0,0,52.0,True,False,False,False,True,False,False,True,True,False
30.0,0,0,12.7375,False,True,False,False,True,True,False,False,True,False
23.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
29.0,3,1,22.025,False,False,True,False,True,False,False,True,False,True
25.0,1,1,30.0,False,True,False,True,False,False,False,True,False,True
22.0,0,0,7.75,False,False,True,True,False,False,True,False,False,True
33.0,3,0,15.85,False,False,True,True,False,False,False,True,False,True
40.0,1,6,46.9,False,False,True,False,True,False,False,True,True,False
30.0,0,0,7.8958,False,False,True,False,True,False,False,True,True,False
35.0,0,0,21.0,False,True,False,True,False,False,False,True,False,True
30.0,0,0,21.0,False,True,False,True,False,False,False,True,False,True
30.0,0,0,6.8583,False,False,True,False,True,False,True,False,True,False
22.0,2,0,31.5,False,True,False,False,True,False,False,True,True,False
32.0,0,0,56.4958,False,False,True,False,True,False,False,True,False,True
28.0,0,0,47.1,True,False,False,False,True,False,False,True,True,False
16.0,0,0,7.75,False,False,True,True,False,False,True,False,False,True
56.0,0,0,35.5,True,False,False,False,True,True,False,False,False,True
30.0,0,0,7.775,False,False,True,False,True,False,False,True,True,False
29.0,0,0,221.7792,True,False,False,True,False,False,False,True,False,True
18.0,0,1,9.35,False,False,True,True,False,False,False,True,False,True
30.0,0,0,7.75,False,False,True,True,False,False,True,False,False,True
30.0,0,0,13.0,False,True,False,False,True,False,False,True,True,False
